Title,Magazine[Language],Magazine[Origin],Magazine[Start date],Magazine[End date],Magazine[Systems],Magazine[Issues]
Mador Internal Magazin,unknown,unknown,20.09.1997,20.09.1997,AMIGA OCS/ECS,"Mador Internal Magazin #2, Mador Internal Magazin #3"
Mag Disc Letter,unknown,unknown,01.01.1994,01.01.1994,ATARI ST/E,Mag Disc Letter 1
Mag-Net,unknown,unknown,07.09.1993,04.04.1994,AMIGA OCS/ECS,"Mag-Net 1, Mag-Net 2, Mag-Net 3"
Mag-Net Preview,unknown,unknown,04.04.1994,04.04.1994,AMIGA OCS/ECS,Mag-Net Preview
Magbox,unknown,unknown,20.07.1992,01.05.1993,AMIGA OCS/ECS,"Magbox 1, Magbox 2, Magbox 3, Magbox 4, Magbox 5"
Maggie,unknown,unknown,01.06.1990,02.02.2000,"ATARI FALCON, ATARI ST/E","Maggie 01, Maggie 02, Maggie 03, Maggie 04, Maggie 05, Maggie 07, Maggie 08, Maggie 09, Maggie 10, Maggie 11, Maggie 12, Maggie 13, Maggie 14, Maggie 15, Maggie 16, Maggie 17, Maggie 18, Maggie 19, Maggie 20, Maggie 21, Maggie 22, Maggie 23, Maggie 24, Maggie 25, Maggie 26, Maggie 27, Maggie 28"
Maggie – 25th Anniversary,unknown,unknown,23.01.2016,23.01.2016,ATARI ST/E,Maggie – 25th Anniversary
Maggie 29 - Tenth Anniversary Issue,unknown,unknown,23.01.2016,23.01.2016,"ATARI FALCON, ATARI ST/E",Maggie 29 - Tenth Anniversary Issue
Maggie Best Of Issues 1-11,unknown,unknown,03.12.1995,03.12.1995,ATARI ST/E,Maggie Best Of Issues 1-11
The Maggie Guide To A Classic Videogame Lifestyle,unknown,unknown,01.01.1995,01.01.1995,ATARI ST/E,The Maggie Guide To A Classic Videogame Lifestyle
Maggy,unknown,unknown,01.01.1989,13.06.1992,AMIGA OCS/ECS,"Maggy 3, Maggy 4, Maggy 5, Maggy 6, Maggy 7, Maggy 8, Maggy 9, Maggy 10, Maggy 11, Maggy 12"
Magic 1/94,unknown,unknown,28.06.1994,28.06.1994,AMIGA OCS/ECS,Magic 1/94
Magic 1/95,unknown,unknown,01.01.1995,01.01.1995,AMIGA OCS/ECS,Magic 1/95
Magic 1/97,unknown,unknown,25.08.1997,25.08.1997,AMIGA AGA,Magic 1/97
Magic 2/94,unknown,unknown,16.10.1994,16.10.1994,AMIGA OCS/ECS,Magic 2/94
Magic 2/95,unknown,unknown,01.01.1995,01.01.1995,AMIGA OCS/ECS,Magic 2/95
Magic 2/96,unknown,unknown,01.07.1996,01.07.1996,AMIGA AGA,Magic 2/96
Magic 3/94,unknown,unknown,11.12.1994,11.12.1994,AMIGA OCS/ECS,Magic 3/94
Magic News October,unknown,unknown,11.12.1994,11.12.1994,COMMODORE 64,Magic News October 1988
Magik Issue,unknown,unknown,11.02.1993,11.02.1993,MS-DOS,Magik Issue #1
Magnetic Media,unknown,unknown,01.01.1991,01.04.1993,"AMIGA OCS/ECS, COMMODORE 64","Magnetic Media #1, Magnetic Media 1, Magnetic Media 2, Magnetic Media #2, Magnetic Media #3, Magnetic Media #4, Magnetic Media #5, Magnetic Media #6, Magnetic Media #7, Magnetic Media #8, Magnetic Media #9"
Magnum Mag,unknown,unknown,01.01.1992,30.08.1992,ATARI ST/E,"Magnum Mag 0, Magnum Mag 1, Magnum Mag 2, Magnum Mag 3"
Magpack Preview,unknown,unknown,01.01.1991,01.01.1991,AMIGA OCS/ECS,Magpack Preview 1991
Mail Madness,unknown,unknown,01.01.1991,27.10.2007,COMMODORE 64,"Mail Madness 1, Mail Madness 2, Mail Madness 3, Mail Madness 4, Mail Madness 5, Mail Madness 6, Mail Madness 7, Mail Madness 8, Mail Madness 9, Mail Madness 12, Mail Madness 13, Mail Madness 14, Mail Madness 15, Mail Madness 16, Mail Madness 17, Mail Madness 18, Mail Madness 19, Mail Madness 22, Mail Madness 25, Mail Madness 26, Mail Madness 27, Mail Madness 28, Mail Madness 29, Mail Madness 30, Mail Madness 31, Mail Madness 32, Mail Madness 33, Mail Madness 34, Mail Madness 35, Mail Madness 36, Mail Madness 37, Mail Madness 38, Mail Madness 39, Mail Madness 40, Mail Madness 41, Mail Madness 42, Mail Madness 43, Mail Madness 44, Mail Madness 45, Mail Madness 46, Mail Madness 47, Mail Madness 48, Mail Madness 49, Mail Madness 50, Mail Madness 51, Mail Madness 52, Mail Madness 53, Mail Madness 54, Mail Madness 55, Mail Madness 56, Mail Madness 57, Mail Madness 58"
Mail Madness 10+11,unknown,unknown,27.10.2007,27.10.2007,COMMODORE 64,Mail Madness 10+11
Mail Madness 20+21,unknown,unknown,19.06.1999,19.06.1999,COMMODORE 64,Mail Madness 20+21
Mail Madness 23+24,unknown,unknown,04.12.1999,04.12.1999,COMMODORE 64,Mail Madness 23+24
Malevolent Creations,unknown,unknown,11.04.1994,24.11.1998,AMIGA OCS/ECS,"Malevolent Creations 01, Malevolent Creations 02, Malevolent Creations 03, Malevolent Creations 04, Malevolent Creations 05, Malevolent Creations 06, Malevolent Creations 07, Malevolent Creations 08, Malevolent Creations 09, Malevolent Creations 10, Malevolent Creations 11, Malevolent Creations 12, Malevolent Creations 13, Malevolent Creations 14"
Mamba,unknown,unknown,16.12.1989,24.11.1998,COMMODORE 64,"Mamba 1, Mamba 2, Mamba 3, Mamba 4, Mamba 5, Mamba 6, Mamba 7, Mamba 8, Mamba 9, Mamba 10, Mamba 11, Mamba 12, Mamba 13, Mamba 14, Mamba 15, Mamba 16, Mamba 17, Mamba 18, Mamba 19, Mamba 20, Mamba 21, Mamba 22, Mamba 23, Mamba 24, Mamba 25"
Man Of War Review,unknown,unknown,06.09.1997,06.09.1997,MS-DOS,Man Of War Review
Maniac Magazine,unknown,unknown,06.09.1997,06.09.1997,MS-DOS,Maniac Magazine 1
Marble Drop (For Win95) Review,unknown,unknown,25.02.1997,25.02.1997,MS-DOS,Marble Drop (For Win95) Review
The Marvellous Lunatics Ball Special Edition,unknown,unknown,30.01.1996,30.01.1996,AMIGA AGA,The Marvellous Lunatics Ball Special Edition
Massive Mag,unknown,unknown,20.02.1992,14.11.1992,ATARI ST/E,"Massive Mag 1, Massive Mag 2, Massive Mag 3, Massive Mag 4"
Master Of Orion Review,unknown,unknown,22.09.1993,22.09.1993,MS-DOS,Master Of Orion Review
Masters Of Orion Review,unknown,unknown,18.09.1993,18.09.1993,MS-DOS,Masters Of Orion Review
Maxi Micro,unknown,unknown,01.01.1992,01.01.1992,AMSTRAD CPC,Maxi Micro #8
McDisk,unknown,unknown,01.01.1992,08.09.1992,AMIGA OCS/ECS,"McDisk 1, McDisk 2, McDisk 3, McDisk 4, McDisk 5"
Meat Puppets Review,unknown,unknown,29.06.1997,29.06.1997,MS-DOS,Meat Puppets Review
Mega Disc,unknown,unknown,01.01.1988,01.01.1988,AMIGA OCS/ECS,Mega Disc 9
Mega Issue,unknown,unknown,01.01.1988,01.01.1988,ATARI ST/E,"Mega Issue 1, Mega Issue 2, Mega Issue 3, Mega Issue 4"
Mega Madness,unknown,unknown,16.03.1991,21.12.1991,COMMODORE 64,"Mega Madness #3, Mega Madness #4, Mega Madness #5, Mega Madness #6, Mega Madness #7, Mega Madness #9, Mega Madness 10"
Mega Magazine Issue,unknown,unknown,18.09.1991,01.01.2005,ATARI 8 BIT,"Mega Magazine Issue #1, Mega Magazine Issue #2, Mega Magazine Issue #3, Mega Magazine Issue #4, Mega Magazine Issue #5, Mega Magazine Issue #6, Mega Magazine Issue #7, Mega Magazine Issue #8"
Mega Man X3 Review,unknown,unknown,05.04.1997,05.04.1997,MS-DOS,Mega Man X3 Review
Mega Top 20 Preview,unknown,unknown,01.09.1993,01.09.1993,AMIGA OCS/ECS,Mega Top 20 Preview
Megazin,unknown,unknown,01.01.1993,20.12.1993,AMIGA OCS/ECS,"Megazin 1, Megazin 2, Megazin 3"
Megazine 1 Preview,unknown,unknown,23.01.1993,23.01.1993,AMIGA OCS/ECS,Megazine 1 Preview
Megazine February,unknown,unknown,20.02.1990,20.02.1990,COMMODORE 64,Megazine February
Mein Kampf,unknown,unknown,20.02.1990,20.02.1990,MS-DOS,Mein Kampf #1 (NSFW)
Members Message Box,unknown,unknown,06.01.1991,06.01.1991,AMIGA OCS/ECS,"Members Message Box 5, Members Message Box 6"
Members Message Box 5 (New Version),unknown,unknown,06.01.1991,06.01.1991,AMIGA OCS/ECS,Members Message Box 5 (New Version)
Memberscroll XVIII (18),unknown,unknown,06.01.1991,06.01.1991,AMIGA OCS/ECS,Memberscroll XVIII (18)
Memories Of The Past,unknown,unknown,31.12.1995,31.12.1995,ATARI ST/E,Memories Of The Past
Mendip,unknown,unknown,31.12.1995,31.12.1995,COMMODORE 64,Mendip 7
Menstruation,unknown,unknown,29.01.1999,29.01.1999,COMMODORE 64,Menstruation 1
Message Box,unknown,unknown,17.01.1992,01.01.1993,AMIGA OCS/ECS,"Message Box, Message Box 1, Message Box 2, Message Box 3, Message Box 4, Message Box 5"
Message-Box,unknown,unknown,23.10.1992,23.10.1992,AMIGA OCS/ECS,Message-Box
Message Center 1 (07/91),unknown,unknown,23.10.1992,23.10.1992,AMIGA OCS/ECS,Message Center 1 (07/91)
Message Center,unknown,unknown,13.06.1992,10.02.1994,AMIGA OCS/ECS,"Message Center 2, Message Center 3, Message Center 4, Message Center 5, Message Center 6, Message Center 7, Message Center 8, Message Center 9, Message Center 9.5"
Messagebox Nr 1 1/2,unknown,unknown,10.02.1994,10.02.1994,AMIGA OCS/ECS,Messagebox Nr 1 1/2
Messagebox Nr 1 2/2,unknown,unknown,10.02.1994,10.02.1994,AMIGA OCS/ECS,Messagebox Nr 1 2/2
Metamorphosis,unknown,unknown,10.02.1994,10.02.1994,COMMODORE 64,"Metamorphosis #6, Metamorphosis #7, Metamorphosis #8"
Meteor,unknown,unknown,01.01.1993,05.06.1994,COMMODORE 64,"Meteor #00, Meteor #01, Meteor #02, Meteor #03, Meteor #04, Meteor #05"
Microprose,unknown,unknown,05.06.1994,05.06.1994,AMIGA OCS/ECS,Microprose
Midnite Mess,unknown,unknown,11.10.1992,27.03.1993,AMIGA OCS/ECS,"Midnite Mess 1, Midnite Mess 2, Midnite Mess 3"
Miggybyte,unknown,unknown,27.03.1993,25.08.1997,AMIGA OCS/ECS,"Miggybyte 1, Miggybyte 4, Miggybyte 5, Miggybyte 6, Miggybyte 7, Miggybyte 8, Miggybyte 10, Miggybyte 12"
Mimeograph,unknown,unknown,01.01.1998,01.09.1999,MS-DOS,"Mimeograph 1, Mimeograph 2, Mimeograph 3, Mimeograph 4, Mimeograph 5, Mimeograph 6"
Mindrape,unknown,unknown,18.09.1993,18.09.1993,MS-DOS,Mindrape 2
MIP Report,unknown,unknown,01.01.1997,01.01.1998,AMIGA OCS/ECS,"MIP Report 1, MIP Report 2, MIP Report 4"
MIP Report 3 - photo edition,unknown,unknown,01.01.1998,01.01.1998,AMIGA OCS/ECS,MIP Report 3 - photo edition
Miracle,unknown,unknown,09.06.1992,01.01.1998,"COMMODORE 64, AMIGA AGA","Miracle #1, Miracle 1, Miracle #3, Miracle #4, Miracle #5, Miracle #6, Miracle #7, Miracle #8, Miracle #9"
MIracle,unknown,unknown,15.03.1993,15.03.1993,COMMODORE 64,MIracle #2
Moon Monkey,unknown,unknown,15.03.1993,15.03.1993,AMIGA OCS/ECS,Moon Monkey 1
Moonlight,unknown,unknown,19.06.1992,15.08.1994,COMMODORE 64,"Moonlight #1, Moonlight #2, Moonlight #3, Moonlight #4, Moonlight #5, Moonlight #6, Moonlight #7, Moonlight #8"
Mortal Kombat 2 Review,unknown,unknown,11.02.1995,11.02.1995,MS-DOS,Mortal Kombat 2 Review
Mortal Kombat Pre-Release Review,unknown,unknown,12.05.1993,12.05.1993,MS-DOS,Mortal Kombat Pre-Release Review
Moto Racer Review,unknown,unknown,03.05.1997,03.05.1997,MS-DOS,Moto Racer Review
Mountain Beer Party,unknown,unknown,20.09.1992,20.09.1992,AMIGA OCS/ECS,Mountain Beer Party 1992
Mountain Congress 1993 Raport,unknown,unknown,25.07.1993,25.07.1993,AMIGA OCS/ECS,Mountain Congress 1993 Raport
Mouse Magazine,unknown,unknown,01.01.1994,01.01.1994,COMMODORE 64,Mouse Magazine 1
Mozkit,unknown,unknown,01.01.1994,01.01.1994,COMMODORE 64,Mozkit #1
MPI Magazine,unknown,unknown,13.03.1992,13.03.1992,MS-DOS,MPI Magazine #3
Mu Mu Mate Preview,unknown,unknown,13.03.1992,13.03.1992,AMIGA OCS/ECS,Mu Mu Mate Preview
Much STOS Gigazine,unknown,unknown,13.03.1992,13.03.1992,ATARI ST/E,"Much STOS Gigazine 1, Much STOS Gigazine 2"
Mudia Art,unknown,unknown,13.03.1992,13.03.1992,WINDOWS,"Mudia Art 1, Mudia Art 3"
Munsie Now Disk-A-Zine – Volume 1 Issue,unknown,unknown,19.05.1995,19.05.1995,ATARI ST/E,Munsie Now Disk-A-Zine – Volume 1 Issue 1
Murder Death Kill (MDK) Review,unknown,unknown,26.03.1997,26.03.1997,MS-DOS,Murder Death Kill (MDK) Review
Mute,unknown,unknown,26.03.1997,26.03.1997,AMIGA AGA,Mute 1
Napalm Death Issue,unknown,unknown,26.03.1997,26.03.1997,MS-DOS,"Napalm Death Issue #1, Napalm Death Issue #2"
Narsil No.,unknown,unknown,01.01.1993,10.06.2002,ATARI ST/E,"Narsil No. 01, Narsil No. 02, Narsil No. 03, Narsil No. 04, Narsil No. 05, Narsil No. 06, Narsil No. 07, Narsil No. 08, Narsil No. 09, Narsil No. 10, Narsil No. 11, Narsil No. 12, Narsil No. 13, Narsil No. 14, Narsil No. 15, Narsil No. 16, Narsil No. 17, Narsil No. 18, Narsil No. 19, Narsil No. 20, Narsil No. 21, Narsil No. 22, Narsil No. 23, Narsil No. 24, Narsil No. 25, Narsil No. 26, Narsil No. 27, Narsil No. 28, Narsil No. 30, Narsil No. 31, Narsil No. 32, Narsil No. 33, Narsil No. 34, Narsil No. 35, Narsil No. 36, Narsil No. 37, Narsil No. 38, Narsil No. 39, Narsil No. 40, Narsil No. 41, Narsil No. 42, Narsil No. 43, Narsil No. 44, Narsil No. 45, Narsil No. 46, Narsil No. 47, Narsil No. 48, Narsil No. 49, Narsil No. 50"
Narsil No. 29 A,unknown,unknown,01.01.1998,01.01.1998,ATARI ST/E,Narsil No. 29 A
Narsil No. 29 B,unknown,unknown,01.01.1998,01.01.1998,ATARI ST/E,Narsil No. 29 B
Narsil Special - Zimní Dobrodružství,unknown,unknown,01.01.1997,01.01.1997,ATARI ST/E,Narsil Special - Zimní Dobrodružství
NASA-Mag,unknown,unknown,10.04.1991,10.04.1991,ATARI ST/E,NASA-Mag #1
Nascar Racing Review,unknown,unknown,16.11.1994,16.11.1994,MS-DOS,Nascar Racing Review
Nasz Dzemik,unknown,unknown,01.01.1998,01.01.1998,ATARI ST/E,"Nasz Dzemik #1, Nasz Dzemik #2"
Necronomicon,unknown,unknown,01.01.1995,08.03.1998,AMIGA OCS/ECS,"Necronomicon 1, Necronomicon 2, Necronomicon 3, Necronomicon 4, Necronomicon 5, Necronomicon 6, Necronomicon 7, Necronomicon 8"
Need For Speed 2 Final Review,unknown,unknown,16.04.1997,16.04.1997,MS-DOS,Need For Speed 2 Final Review
Need For Speed 2 Review,unknown,unknown,04.04.1997,04.04.1997,MS-DOS,Need For Speed 2 Review
Neologia,unknown,unknown,01.01.1997,01.01.1997,MS-DOS,"Neologia 1, Neologia 2, Neologia 3, Neologia 4, Neologia 5, Neologia 6, Neologia 7, Neologia 8"
Neopleons Review,unknown,unknown,07.08.1993,07.08.1993,MS-DOS,Neopleons Review
Net-Text,unknown,unknown,08.03.1992,08.03.1992,AMIGA OCS/ECS,Net-Text 1
Neurosis Issue,unknown,unknown,08.03.1992,08.03.1992,MS-DOS,Neurosis Issue #1
Neurowaver,unknown,unknown,08.03.1992,08.03.1992,AMIGA OCS/ECS,Neurowaver 05
Nevermind,unknown,unknown,08.03.1992,08.03.1992,AMIGA OCS/ECS,Nevermind 34
Nevermind 40 Mag,unknown,unknown,08.03.1992,08.03.1992,AMIGA OCS/ECS,Nevermind 40 Mag
Nevermind 41 Mag,unknown,unknown,08.03.1992,08.03.1992,AMIGA OCS/ECS,Nevermind 41 Mag
Nevermind 43 Mag,unknown,unknown,08.03.1992,08.03.1992,AMIGA OCS/ECS,Nevermind 43 Mag
Nevermind 58 Mag,unknown,unknown,08.03.1992,08.03.1992,AMIGA OCS/ECS,Nevermind 58 Mag
Nevermind 59 Magparty,unknown,unknown,01.05.1994,01.05.1994,AMIGA OCS/ECS,Nevermind 59 Magparty
Nevermind 62 - Mag,unknown,unknown,01.05.1994,01.05.1994,AMIGA OCS/ECS,Nevermind 62 - Mag
Nevermind 66 Mag,unknown,unknown,12.02.1995,12.02.1995,AMIGA OCS/ECS,Nevermind 66 Mag
Nevermind 69 Mag,unknown,unknown,12.02.1995,12.02.1995,AMIGA OCS/ECS,Nevermind 69 Mag
Nevermind 71 Mag,unknown,unknown,12.02.1995,12.02.1995,AMIGA OCS/ECS,Nevermind 71 Mag
Nevermind Mag Preview,unknown,unknown,01.08.1993,01.08.1993,AMIGA OCS/ECS,Nevermind Mag Preview
New Age Demo Database,unknown,unknown,01.08.1993,01.08.1993,MS-DOS,New Age Demo Database
The New Phaze,unknown,unknown,20.07.1989,01.08.1993,AMIGA OCS/ECS,"The New Phaze 1, The New Phaze 2, The New Phaze 3"
New World Order issue,unknown,unknown,24.05.1993,29.01.1994,MS-DOS,"New World Order issue #1, New World Order issue #2, New World Order issue #3, New World Order issue #4, New World Order issue #5, New World Order issue #6, New World Order issue #7, New World Order issue #8"
News File,unknown,unknown,29.01.1994,29.01.1994,AMIGA OCS/ECS,News File 1
News Magazine,unknown,unknown,04.12.1995,04.12.1995,MS-DOS,News Magazine
News of the Underground,unknown,unknown,18.04.1990,18.04.1990,COMMODORE 64,News of the Underground #4
News On Disk,unknown,unknown,10.08.1989,10.08.1989,COMMODORE 64,News On Disk 1
News On Tour 1 07 -,unknown,unknown,10.08.1989,10.08.1989,AMIGA OCS/ECS,News On Tour 1 07 - 89
News On Tour 2 08 -,unknown,unknown,10.08.1989,10.08.1989,AMIGA OCS/ECS,News On Tour 2 08 - 89
News On Tour 3 10 -,unknown,unknown,10.08.1989,10.08.1989,AMIGA OCS/ECS,News On Tour 3 10 - 89
News On Tour,unknown,unknown,20.01.1990,19.05.1990,AMIGA OCS/ECS,"News On Tour 5, News On Tour 7"
News On Tour 6 02 -,unknown,unknown,17.03.1990,17.03.1990,AMIGA OCS/ECS,News On Tour 6 02 - 90
News Press,unknown,unknown,20.06.1992,24.07.1999,COMMODORE 64,"News Press #1, News Press #2, News Press #3, News Press #4, News Press #5, News Press #6, News Press #7, News Press #8, News Press #9, News Press #10, News Press #11, News Press #12, News Press #13, News Press #14, News Press #15, News Press #17, News Press #18, News Press #19, News Press #20"
News Press 16 - The Final Issue,unknown,unknown,22.02.1995,22.02.1995,COMMODORE 64,News Press 16 - The Final Issue
News Week,unknown,unknown,25.02.1994,04.08.1995,AMIGA OCS/ECS,"News Week 0, News Week 1, News Week 2, News Week 3, News Week 4, News Week 5, News Week 6, News Week 7"
Newsdisk,unknown,unknown,01.01.1989,01.01.1990,AMIGA OCS/ECS,"Newsdisk 1, Newsdisk 2"
Newsdisk Issue 1 v1.1,unknown,unknown,01.01.1990,01.01.1990,ATARI ST/E,Newsdisk Issue 1 v1.1
Newsdisk Issue 1 v1.41,unknown,unknown,01.01.1990,01.01.1990,ATARI ST/E,Newsdisk Issue 1 v1.41
Newsflash,unknown,unknown,01.01.1989,24.07.1993,AMIGA OCS/ECS,"Newsflash 1, Newsflash 2, Newsflash 3, Newsflash 4, Newsflash 5, Newsflash 6, Newsflash 7, Newsflash 8, Newsflash 9, Newsflash 10, Newsflash 11, Newsflash 12, Newsflash 13, Newsflash 14, Newsflash 15, Newsflash 16, Newsflash 17, Newsflash 18, Newsflash 19, Newsflash 20, Newsflash 21, Newsflash 22, Newsflash 23, Newsflash 24, Newsflash 25, Newsflash 26, Newsflash 27, Newsflash 28, Newsflash 29, Newsflash 30, Newsflash 31"
Newsweek,unknown,unknown,15.01.1989,15.01.1989,COMMODORE 64,Newsweek 3
Next Life,unknown,unknown,19.05.1991,15.05.1992,AMIGA OCS/ECS,"Next Life 1, Next Life 2, Next Life 3, Next Life 5, Next Life 6, Next Life 7"
NHL Hockey Review,unknown,unknown,25.09.1993,25.09.1993,MS-DOS,NHL Hockey Review
Nick Faldo Golf Review,unknown,unknown,30.09.1993,30.09.1993,MS-DOS,Nick Faldo Golf Review
Nie Z Tej Beczki,unknown,unknown,01.01.1993,01.01.1999,AMIGA OCS/ECS,"Nie Z Tej Beczki 1, Nie Z Tej Beczki 2, Nie Z Tej Beczki 3, Nie Z Tej Beczki 4, Nie Z Tej Beczki 5, Nie Z Tej Beczki 6, Nie Z Tej Beczki 7, Nie Z Tej Beczki 8, Nie Z Tej Beczki 9"
Nie Z Tej Beczki 5 Plus,unknown,unknown,01.01.1999,01.01.1999,AMIGA OCS/ECS,Nie Z Tej Beczki 5 Plus
Nie Z Tej Beczki 6 Plus,unknown,unknown,01.01.1995,01.01.1995,AMIGA OCS/ECS,Nie Z Tej Beczki 6 Plus
Nie Z Tej Beczki 7 Plus,unknown,unknown,01.01.1995,01.01.1995,AMIGA OCS/ECS,Nie Z Tej Beczki 7 Plus
The Night Train,unknown,unknown,27.12.1996,27.12.1996,AMIGA AGA,The Night Train 1
NightTrain,unknown,unknown,27.12.1996,27.12.1996,,NightTrain 1
Nitro,unknown,unknown,25.04.1992,27.12.1996,COMMODORE 64,"Nitro 1, Nitro 2, Nitro 3, Nitro 4, Nitro 5, Nitro 6, Nitro 7, Nitro 8, Nitro 9, Nitro 10, Nitro 11, Nitro 12, Nitro 13, Nitro 14, Nitro 15, Nitro 16, Nitro 17, Nitro 18, Nitro 19, Nitro 20, Nitro 21, Nitro 22, Nitro 23, Nitro 24, Nitro 25"
No Sense,unknown,unknown,01.01.1996,05.02.1996,"AMIGA OCS/ECS, AMIGA AGA","No Sense 1, No Sense 2, No Sense 3"
Nofear News,unknown,unknown,15.04.1994,15.04.1994,MS-DOS,Nofear News #2
NOP,unknown,unknown,15.04.1994,15.04.1994,ATARI 8 BIT,NOP #1
Nordic Report,unknown,unknown,06.03.1992,05.11.1992,AMIGA OCS/ECS,"Nordic Report 1, Nordic Report 2, Nordic Report 3"
Nordic Scene Review,unknown,unknown,23.04.2005,26.01.2014,COMMODORE 64,"Nordic Scene Review #1: First Blood, Nordic Scene Review #2: A Midsummer Night's Dream, Nordic Scene Review #3: Autumn Chaos, Nordic Scene Review #4: The Dry Season, Nordic Scene Review #5, Nordic Scene Review #6, Nordic Scene Review #7, Nordic Scene Review #8"
Norsktoppen,unknown,unknown,17.05.1998,26.01.2014,AMIGA AGA,"Norsktoppen 1, Norsktoppen 2"
Nova Issue,unknown,unknown,13.04.1994,26.11.1994,ATARI ST/E,"Nova Issue 01, Nova Issue 02, Nova Issue 03, Nova Issue 04, Nova Issue 06, Nova Issue 07"
Nova Nekropola,unknown,unknown,15.04.2020,15.04.2020,COMMODORE 64,Nova Nekropola
NRG,unknown,unknown,10.03.1997,10.03.1997,AMIGA AGA,"NRG 1, NRG 2, NRG 3"
NSDAP,unknown,unknown,10.03.1997,10.03.1997,MS-DOS,NSDAP #1
Null,unknown,unknown,10.03.1997,10.03.1997,MS-DOS,Null 006
NULL emag.,unknown,unknown,02.11.2018,02.11.2018,"WINDOWS, MS-DOS, LINUX",NULL emag.
ObTain,unknown,unknown,02.11.2018,02.11.2018,MS-DOS,ObTain #1
Oddech Latryny,unknown,unknown,02.11.2018,02.11.2018,ATARI 8 BIT,"Oddech Latryny #1, Oddech Latryny #2, Oddech Latryny #3, Oddech Latryny #4, Oddech Latryny #5, Oddech Latryny #6, Oddech Latryny #7"
Oepir Risti,unknown,unknown,01.01.1993,01.01.1998,"AMIGA OCS/ECS, AMIGA AGA","Oepir Risti 1, Oepir Risti 2, Oepir Risti 3, Oepir Risti 4, Oepir Risti 5, Oepir Risti 6, Oepir Risti 7, Oepir Risti 8, Oepir Risti 9, Oepir Risti 10"
Oepir Risti 07 Icing,unknown,unknown,01.07.1996,01.07.1996,AMIGA AGA,Oepir Risti 07 Icing
Offline Issue,unknown,unknown,01.07.1996,01.07.1996,ATARI ST/E,Offline Issue 1
Oko,unknown,unknown,01.01.1993,01.01.1995,AMIGA OCS/ECS,"Oko 1, Oko 2, Oko 3, Oko 4, Oko 5, Oko 6"
Old Daddy,unknown,unknown,01.01.1995,01.01.1995,AMIGA OCS/ECS,"Old Daddy 1, Old Daddy 2, Old Daddy 3"
Oldskool Console Charts 10/1995,unknown,unknown,01.01.1995,01.01.1995,,Oldskool Console Charts 10/1995
Omlette,unknown,unknown,01.01.1995,01.01.1995,MS-DOS,"Omlette #1, Omlette #2"
On Disc,unknown,unknown,01.01.1995,01.01.1995,ATARI ST/E,On Disc 3
One More Shit,unknown,unknown,01.01.1993,01.01.1993,AMIGA OCS/ECS,One More Shit
Ooze,unknown,unknown,12.05.1998,12.05.1998,MS-DOS,Ooze 3
Orgazm,unknown,unknown,21.11.1995,13.12.1997,AMIGA OCS/ECS,"Orgazm 1, Orgazm 2, Orgazm 3"
Ormo,unknown,unknown,01.01.1994,01.01.1994,AMIGA OCS/ECS,Ormo 1
Osmium Issue,unknown,unknown,04.08.1993,04.08.1993,MS-DOS,Osmium Issue #1
The Other World,unknown,unknown,01.01.1991,01.01.1991,AMSTRAD CPC,The Other World #3
Out of Space,unknown,unknown,01.01.1991,01.01.1991,AMIGA OCS/ECS,Out of Space 1
Outcast,unknown,unknown,17.07.1995,17.07.1995,AMIGA AGA,Outcast 02
Outdoor,unknown,unknown,17.07.1995,17.07.1995,COMMODORE 64,"Outdoor #1, Outdoor #2"
Outer Limits,unknown,unknown,01.08.1991,30.05.1993,AMIGA OCS/ECS,"Outer Limits 1, Outer Limits 2, Outer Limits 3, Outer Limits 4, Outer Limits 5"
Outlaw 1997 Review,unknown,unknown,20.02.1994,20.02.1994,MS-DOS,Outlaw 1997 Review
Outlaw Issue,unknown,unknown,20.02.1994,24.04.1994,AMIGA OCS/ECS,"Outlaw Issue 1, Outlaw Issue 2"
Outlaws Express,unknown,unknown,22.06.1990,22.06.1990,AMIGA OCS/ECS,Outlaws Express
Outlaws Review,unknown,unknown,05.04.1997,05.04.1997,MS-DOS,Outlaws Review
Ovation,unknown,unknown,05.04.1997,05.04.1997,AMSTRAD CPC,"Ovation 1, Ovation 2, Ovation 3, Ovation 4, Ovation 5"
Ovation 6 Preview (V1.3),unknown,unknown,05.04.1997,05.04.1997,AMSTRAD CPC,Ovation 6 Preview (V1.3)
Overflow,unknown,unknown,05.04.1997,05.04.1997,MS-DOS,Overflow #1
Overshadow,unknown,unknown,03.03.1997,30.06.2021,COMMODORE 64,"Overshadow #01, Overshadow #36"
Overtime,unknown,unknown,11.01.2000,11.01.2000,AMIGA AGA,Overtime 3
Overview,unknown,unknown,11.01.2000,11.01.2000,AMIGA AGA,Overview 4
P.D. List,unknown,unknown,11.01.2000,11.01.2000,ATARI ST/E,P.D. List
P.E.N.I.S,unknown,unknown,04.05.1989,11.01.2000,AMIGA OCS/ECS,"P.E.N.I.S 1, P.E.N.I.S 2"
P.E.N.I.S.,unknown,unknown,17.06.1989,17.06.1989,AMIGA OCS/ECS,P.E.N.I.S. 3
