issue,title,platform,group,release,release_converted,link,download_links,external_download_links
Ambition #1,Ambition,Commodore 64,"Compagnions, Sense Designs",16 March 1991,16.03.1991,https://csdb.dk//release/?id=33434,http://csdb.dk/getinternalfile.php/22483/ambition01.zip,http://ftp.pokefinder.org/index.php?s=Ambition%201&sourceid=csdb
Ambition #2,Ambition,Commodore 64,"Compagnions, Sense Designs",April 1991,01.04.1991,https://csdb.dk//release/?id=33433,http://csdb.dk/getinternalfile.php/22482/ambition02.zip,http://ftp.pokefinder.org/index.php?s=Ambition%202&sourceid=csdb
Ambition #3,Ambition,Commodore 64,"Compagnions, Sense Designs",18 May 1991,18.05.1991,https://csdb.dk//release/?id=33432,http://csdb.dk/getinternalfile.php/22480/ambition03.zip,http://ftp.pokefinder.org/index.php?s=Ambition%203&sourceid=csdb
Ambition #4,Ambition,Commodore 64,"Compagnions, Sense Designs",15 June 1991,15.06.1991,https://csdb.dk//release/?id=33431,http://csdb.dk/getinternalfile.php/22479/ambition04.zip,http://ftp.pokefinder.org/index.php?s=Ambition%204&sourceid=csdb
Ambition #5,Ambition,Commodore 64,The Ancient Temple,17 August 1991,17.08.1991,https://csdb.dk//release/?id=5150,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Ambition/Ambition_05.zip, http://csdb.dk/getinternalfile.php/51930/Ambition #5.d64",http://ftp.pokefinder.org/index.php?s=Ambition%205&sourceid=csdb
Ambition #6,Ambition,Commodore 64,The Ancient Temple,13 September 1991,13.09.1991,https://csdb.dk//release/?id=5151,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Ambition/Ambition_06.zip, http://csdb.dk/getinternalfile.php/57437/Ambition_06.zip",http://ftp.pokefinder.org/index.php?s=Ambition%206&sourceid=csdb
Ambition Preview,Ambition,Commodore 64,Sense Designs,1991,01.01.1991,https://csdb.dk//release/?id=209867,http://csdb.dk/getinternalfile.php/219794/ambition_preview.d64,http://ftp.pokefinder.org/index.php?s=Ambition%20Preview&sourceid=csdb
Amboss Preview,Amboss Preview,Commodore 64,Divine Deflection,October 1990,01.10.1990,https://csdb.dk//release/?id=3060,http://csdb.dk/getinternalfile.php/33906/Amboss.zip,http://ftp.pokefinder.org/index.php?s=Amboss%20Preview&sourceid=csdb
Anarchy #1,Anarchy,Commodore 64,Crescent,June 1994,01.06.1994,https://csdb.dk//release/?id=105,"http://csdb.dk/getinternalfile.php/1344/crescent-anarchy_01.zip, http://kilic.org/crescent/download/crescent-anarchy_01.zip",http://ftp.pokefinder.org/index.php?s=Anarchy%201&sourceid=csdb
Anarchy #1,Anarchy,Commodore 64,Couple,1 March 1994,01.03.1994,https://csdb.dk//release/?id=70389,http://csdb.dk/getinternalfile.php/64079/Anarchy_01_CPL.zip,http://ftp.pokefinder.org/index.php?s=Anarchy%201&sourceid=csdb
Anarchy #2,Anarchy,Commodore 64,Couple,3 May 1994,03.05.1994,https://csdb.dk//release/?id=70391,http://csdb.dk/getinternalfile.php/64080/Anarchy_02_CPL.zip,http://ftp.pokefinder.org/index.php?s=Anarchy%202&sourceid=csdb
Andy's Daily 3,Andy's Daily,Commodore 64,Crawley League of Pirates,31 July 1987,31.07.1987,https://csdb.dk//release/?id=14559,http://csdb.dk/getinternalfile.php/3071/DEMO063B.rar,http://ftp.pokefinder.org/index.php?s=Andys%20Daily%203&sourceid=csdb
Anti News #2.1,Anti News,Commodore 64,Anti,1993,01.01.1993,https://csdb.dk//release/?id=81439,http://csdb.dk/getinternalfile.php/77901/Anti_News_2.zip,http://ftp.pokefinder.org/index.php?s=Anti%20News%2021&sourceid=csdb
Antidote #1,Antidote,Commodore 64,Agnus,1994,01.01.1994,https://csdb.dk//release/?id=98108,http://csdb.dk/getinternalfile.php/95553/Antidote 1 - Agnus Light.zip,http://ftp.pokefinder.org/index.php?s=Antidote%201&sourceid=csdb
Antidote #2,Antidote,Commodore 64,Agnus,1994,01.01.1994,https://csdb.dk//release/?id=47103,http://csdb.dk/getinternalfile.php/38186/Antitude_02.zip,http://ftp.pokefinder.org/index.php?s=Antidote%202&sourceid=csdb
Antidote #3,Antidote,Commodore 64,Medium,10 October 1994,10.10.1994,https://csdb.dk//release/?id=98124,http://csdb.dk/getinternalfile.php/95569/Antidote 3 - Medium.zip,http://ftp.pokefinder.org/index.php?s=Antidote%203&sourceid=csdb
Antidote #4,Antidote,Commodore 64,Medium,15 January 1995,15.01.1995,https://csdb.dk//release/?id=98144,http://csdb.dk/getinternalfile.php/95586/Antidote 4 - Medium.zip,http://ftp.pokefinder.org/index.php?s=Antidote%204&sourceid=csdb
Antidote #5,Antidote,Commodore 64,Medium,22 July 1995,22.07.1995,https://csdb.dk//release/?id=74737,http://csdb.dk/getinternalfile.php/70091/antidote5.zip,http://ftp.pokefinder.org/index.php?s=Antidote%205&sourceid=csdb
Antinational #1 [english],Antinational,Commodore 64,Metalvotze,30 December 1994,30.12.1994,https://csdb.dk//release/?id=111491,http://csdb.dk/getinternalfile.php/108944/atn1.d64,http://ftp.pokefinder.org/index.php?s=Antinational%201%20english&sourceid=csdb
Antinationale #1,Antinationale,Commodore 64,Metalvotze,25 November 1994,25.11.1994,https://csdb.dk//release/?id=4439,"http://www.ihlaid.de/files/atn1.zip, http://csdb.dk/getinternalfile.php/61583/atn1.zip",http://ftp.pokefinder.org/index.php?s=Antinationale%201&sourceid=csdb
Anyone Better #01,Anyone Better,Commodore 64,Cross,January 1991,01.01.1991,https://csdb.dk//release/?id=123564,http://csdb.dk/getinternalfile.php/122201/anyonebetter01.zip,http://ftp.pokefinder.org/index.php?s=Anyone%20Better%2001&sourceid=csdb
"Anyone Better Preview, Anyone Better #00",Anyone Better,Commodore 64,Cross,1990,01.01.1990,https://csdb.dk//release/?id=51282,http://csdb.dk/getinternalfile.php/42819/Anyone better Preview.zip,http://ftp.pokefinder.org/index.php?s=Anyone%20Better%2000&sourceid=csdb
"AP #22, ArachnoPhobia #22","AP, ArachnoPhobia",Commodore 64,"Raiders of the Lost Empire, Spiders-Crew, The ArachnoPhobia Staff",1 November 2001,01.11.2001,https://csdb.dk//release/?id=3578,"ftp://ftp.padua.org/pub/c64/Magazines/arachnophobia/ArachnoPhobia_22.zip, http://csdb.dk/getinternalfile.php/61609/ArachnoPhobia_22.zip",http://ftp.pokefinder.org/index.php?s=ArachnoPhobia%2022&sourceid=csdb
"AP #23, ArachnoPhobia #23 ","AP, ArachnoPhobia",Commodore 64,"Raiders of the Lost Empire, Spiders-Crew, The ArachnoPhobia Staff",1 February 2002,01.02.2002,https://csdb.dk//release/?id=2689,"ftp://ftp.padua.org/pub/c64/Magazines/arachnophobia/ArachnoPhobia_23.zip, http://csdb.dk/getinternalfile.php/61612/ArachnoPhobia_23.zip",http://ftp.pokefinder.org/index.php?s=ArachnoPhobia%2023%20&sourceid=csdb
"AP #25, ArachnoPhobia #25","AP, ArachnoPhobia",Commodore 64,"Raiders of the Lost Empire, Spiders-Crew, The ArachnoPhobia Staff",4 August 2002,04.08.2002,https://csdb.dk//release/?id=6466,"ftp://ftp.padua.org/pub/c64/Magazines/arachnophobia/Arachnophobia_25.zip, http://csdb.dk/getinternalfile.php/61613/Arachnophobia_25.zip",http://ftp.pokefinder.org/index.php?s=ArachnoPhobia%2025&sourceid=csdb
"AP #27, ArachnoPhobia #27","AP, ArachnoPhobia",Commodore 64,"Raiders of the Lost Empire, Spiders-Crew, The ArachnoPhobia Staff",1 February 2003,01.02.2003,https://csdb.dk//release/?id=7796,"ftp://ftp.padua.org/pub/c64/Magazines/arachnophobia/Arachnophobia_27.zip, http://csdb.dk/getinternalfile.php/57570/Arachnophobia_27.zip",http://ftp.pokefinder.org/index.php?s=ArachnoPhobia%2027&sourceid=csdb
"AP #30, ArachnoPhobia #30","AP, ArachnoPhobia",Commodore 64,"Raiders of the Lost Empire, Spiders-Crew, The ArachnoPhobia Staff",1 November 2003,01.11.2003,https://csdb.dk//release/?id=10810,"http://csdb.dk/getinternalfile.php/589/ArachnoPhobia30.zip, ftp://ftp.padua.org/pub/c64/Magazines/arachnophobia/Arachnophobia_30.zip, http://csdb.dk/getinternalfile.php/1225/Ap30bver.d64, ftp://ftp.scs-trc.net/pub/c64/Magazines/Arachnophobia/ArachnoPhobia_30.zip",http://ftp.pokefinder.org/index.php?s=ArachnoPhobia%2030&sourceid=csdb
"AP #31, ArachnoPhobia #31","AP, ArachnoPhobia",Commodore 64,"Raiders of the Lost Empire, Spiders-Crew, The ArachnoPhobia Staff",1 February 2004,01.02.2004,https://csdb.dk//release/?id=11684,"http://csdb.dk/getinternalfile.php/1058/ArachnoPhobia31.zip, http://csdb.dk/getinternalfile.php/1089/Arachnophobia_31_diskcover.zip",http://ftp.pokefinder.org/index.php?s=ArachnoPhobia%2031&sourceid=csdb
"AP #33, AP33, ArachnoPhobia 33, ArachnoPhobia #33","AP, ArachnoPhobia",Commodore 64,"Level 64, Raiders of the Lost Empire, The ArachnoPhobia Staff",5 November 2004,05.11.2004,https://csdb.dk//release/?id=15284,"http://csdb.dk/getinternalfile.php/3558/arachnophobia33.D64, ftp://ftp.scs-trc.net/pub/c64/Magazines/Arachnophobia/ArachnoPhobia_33.zip",http://ftp.pokefinder.org/index.php?s=ArachnoPhobia%2033&sourceid=csdb
"AP #34, AP34, ArachnoPhobia 34, ArachnoPhobia #34","AP, ArachnoPhobia",Commodore 64,"Level 64, Raiders of the Lost Empire, The ArachnoPhobia Staff",16 April 2005,16.04.2005,https://csdb.dk//release/?id=17830,"http://csdb.dk/getinternalfile.php/6059/ArachnoPhobia_34.D64, http://csdb.dk/getinternalfile.php/6062/AP34Cover2.jpg",http://ftp.pokefinder.org/index.php?s=ArachnoPhobia%2034&sourceid=csdb
"AP#35, ArachnoPhobia #35","AP, ArachnoPhobia",Commodore 64,"Level 64, Raiders of the Lost Empire, The ArachnoPhobia Staff",20 April 2006,20.04.2006,https://csdb.dk//release/?id=32878,"http://csdb.dk/getinternalfile.php/21882/ArachnoPhobia35.zip, ftp://ftp.scs-trc.net/pub/c64/Magazines/Arachnophobia/ArachnoPhobia_35.zip",http://ftp.pokefinder.org/index.php?s=ArachnoPhobia%2035&sourceid=csdb
"AP19, ArachnoPhobia #19","AP, ArachnoPhobia",Commodore 64,"Raiders of the Lost Empire, Spiders-Crew, The ArachnoPhobia Staff",1 February 2001,01.02.2001,https://csdb.dk//release/?id=4038,http://csdb.dk/getinternalfile.php/823/Arachnophobia_19.zip,http://ftp.pokefinder.org/index.php?s=ArachnoPhobia%2019&sourceid=csdb
"AP20, ArachnoPhobia #20","AP, ArachnoPhobia",Commodore 64,"Raiders of the Lost Empire, Spiders-Crew, The ArachnoPhobia Staff",15 April 2001,15.04.2001,https://csdb.dk//release/?id=3979,"ftp://ftp.padua.org/pub/c64/Magazines/arachnophobia/ArachnoPhobia_20.zip, http://csdb.dk/getinternalfile.php/61607/ArachnoPhobia_20.zip",http://ftp.pokefinder.org/index.php?s=ArachnoPhobia%2020&sourceid=csdb
"AP21, ArachnoPhobia #21","AP, ArachnoPhobia",Commodore 64,"Raiders of the Lost Empire, Spiders-Crew, The ArachnoPhobia Staff",1 August 2001,01.08.2001,https://csdb.dk//release/?id=4147,"ftp://ftp.padua.org/pub/c64/Magazines/arachnophobia/ArachnoPhobia_21.zip, http://csdb.dk/getinternalfile.php/61608/ArachnoPhobia_21.zip",http://ftp.pokefinder.org/index.php?s=ArachnoPhobia%2021&sourceid=csdb
"ArachniPhobia, ArachnoPhobia #1","AP, ArachnoPhobia",Commodore 64,"Spiders-Crew, Style, The ArachnoPhobia Staff",19 September 1996,19.09.1996,https://csdb.dk//release/?id=210966,https://csdb.dk/getinternalfile.php/221026/ArachnoPhobia-01-STL-SPD-TAS.d64,http://ftp.pokefinder.org/index.php?s=ArachnoPhobia%201&sourceid=csdb
ArachnoPhobia #1,"AP, ArachnoPhobia",Commodore 64,"Spiders-Crew, The ArachnoPhobia Staff",1 August 1996,01.08.1996,https://csdb.dk//release/?id=3484,"ftp://ftp.zimmers.net/pub/cbm/c64/magazines/Arachnophobia1.d64.gz, http://csdb.dk/getinternalfile.php/940/ArachnoPhobia #01.zip, ftp://ftp.scs-trc.net/pub/c64/Magazines/Arachnophobia/ArachnoPhobia_01.zip",http://ftp.pokefinder.org/index.php?s=ArachnoPhobia%201&sourceid=csdb
ArachnoPhobia #10,"AP, ArachnoPhobia",Commodore 64,"Raiders of the Lost Empire, Spiders-Crew, The ArachnoPhobia Staff",1 October 1998,01.10.1998,https://csdb.dk//release/?id=3152,"ftp://ftp.padua.org/pub/c64/Magazines/arachnophobia/Arachnophobia10.zip, http://csdb.dk/getinternalfile.php/61521/ArachnoPhobia_10.zip",http://ftp.pokefinder.org/index.php?s=ArachnoPhobia%2010&sourceid=csdb
ArachnoPhobia #11,"AP, ArachnoPhobia",Commodore 64,"Raiders of the Lost Empire, Spiders-Crew, The ArachnoPhobia Staff",January 1999,01.01.1999,https://csdb.dk//release/?id=5156,"http://csdb.dk/getinternalfile.php/810/Arachnophobia11.zip, http://csdb.dk/getinternalfile.php/54262/arachnophobia_11.d64.gz, http://csdb.dk/getinternalfile.php/140809/arachnophoba11+editor.zip",http://ftp.pokefinder.org/index.php?s=ArachnoPhobia%2011&sourceid=csdb
ArachnoPhobia #12,"AP, ArachnoPhobia",Commodore 64,"Raiders of the Lost Empire, Spiders-Crew, The ArachnoPhobia Staff",April 1999,01.04.1999,https://csdb.dk//release/?id=5096,"http://csdb.dk/getinternalfile.php/811/Arachnophobia_12.zip, http://csdb.dk/getinternalfile.php/68044/ARA_12.d64",http://ftp.pokefinder.org/index.php?s=ArachnoPhobia%2012&sourceid=csdb
ArachnoPhobia #13,"AP, ArachnoPhobia",Commodore 64,"Raiders of the Lost Empire, Spiders-Crew, The ArachnoPhobia Staff",1 July 1999,01.07.1999,https://csdb.dk//release/?id=5157,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Arachnophobia/ArachnoPhobia_13.zip, http://csdb.dk/getinternalfile.php/812/Arachnophobia_13.zip",http://ftp.pokefinder.org/index.php?s=ArachnoPhobia%2013&sourceid=csdb
ArachnoPhobia #14,"AP, ArachnoPhobia",Commodore 64,"Raiders of the Lost Empire, Spiders-Crew, The ArachnoPhobia Staff",1 October 1999,01.10.1999,https://csdb.dk//release/?id=5171,http://csdb.dk/getinternalfile.php/820/ArachnoPhobia #14.zip,http://ftp.pokefinder.org/index.php?s=ArachnoPhobia%2014&sourceid=csdb
ArachnoPhobia #15,"AP, ArachnoPhobia",Commodore 64,"Raiders of the Lost Empire, Spiders-Crew, The ArachnoPhobia Staff",31 January 2000,31.01.2000,https://csdb.dk//release/?id=5170,http://csdb.dk/getinternalfile.php/821/ArachnoPhobia #15.zip,http://ftp.pokefinder.org/index.php?s=ArachnoPhobia%2015&sourceid=csdb
ArachnoPhobia #16,"AP, ArachnoPhobia",Commodore 64,"Raiders of the Lost Empire, Spiders-Crew, The ArachnoPhobia Staff",23 April 2000,23.04.2000,https://csdb.dk//release/?id=5088,http://csdb.dk/getinternalfile.php/818/Arachnophobia_16.zip,http://ftp.pokefinder.org/index.php?s=ArachnoPhobia%2016&sourceid=csdb
ArachnoPhobia #17,"AP, ArachnoPhobia",Commodore 64,"Raiders of the Lost Empire, Spiders-Crew, The ArachnoPhobia Staff",1 August 2000,01.08.2000,https://csdb.dk//release/?id=5169,http://csdb.dk/getinternalfile.php/198384/arachnophobia17.zip,http://ftp.pokefinder.org/index.php?s=ArachnoPhobia%2017&sourceid=csdb
ArachnoPhobia #18,"AP, ArachnoPhobia",Commodore 64,"Raiders of the Lost Empire, Spiders-Crew, The ArachnoPhobia Staff",1 November 2000,01.11.2000,https://csdb.dk//release/?id=5168,http://csdb.dk/getinternalfile.php/822/ArachnoPhobia#18.zip,http://ftp.pokefinder.org/index.php?s=ArachnoPhobia%2018&sourceid=csdb
ArachnoPhobia #2,"AP, ArachnoPhobia",Commodore 64,"Spiders-Crew, The ArachnoPhobia Staff",1 October 1996,01.10.1996,https://csdb.dk//release/?id=3940,"http://csdb.dk/getinternalfile.php/69054/arachnophobia 02 - working.zip, http://csdb.dk/getinternalfile.php/78499/0162b.d64",http://ftp.pokefinder.org/index.php?s=ArachnoPhobia%202&sourceid=csdb
ArachnoPhobia #24,"AP, ArachnoPhobia",Commodore 64,"Raiders of the Lost Empire, Spiders-Crew, The ArachnoPhobia Staff",15 May 2002,15.05.2002,https://csdb.dk//release/?id=5164,http://csdb.dk/getinternalfile.php/28659/ap24.zip,http://ftp.pokefinder.org/index.php?s=ArachnoPhobia%2024&sourceid=csdb
ArachnoPhobia #26,"AP, ArachnoPhobia",Commodore 64,"Raiders of the Lost Empire, Spiders-Crew, The ArachnoPhobia Staff",1 November 2002,01.11.2002,https://csdb.dk//release/?id=7185,"ftp://ftp.padua.org/pub/c64/Magazines/arachnophobia/Arachnophobia_26.zip, http://csdb.dk/getinternalfile.php/61614/Arachnophobia_26.zip",http://ftp.pokefinder.org/index.php?s=ArachnoPhobia%2026&sourceid=csdb
ArachnoPhobia #28,"AP, ArachnoPhobia",Commodore 64,"Raiders of the Lost Empire, Spiders-Crew, The ArachnoPhobia Staff",1 May 2003,01.05.2003,https://csdb.dk//release/?id=8546,http://csdb.dk/getinternalfile.php/2517/arachnophobia28.zip,http://ftp.pokefinder.org/index.php?s=ArachnoPhobia%2028&sourceid=csdb
ArachnoPhobia #29,"AP, ArachnoPhobia",Commodore 64,"Raiders of the Lost Empire, Spiders-Crew, The ArachnoPhobia Staff",10 August 2003,10.08.2003,https://csdb.dk//release/?id=9745,"ftp://ftp.padua.org/pub/c64/Magazines/arachnophobia/Arachnophobia_29.zip, http://csdb.dk/getinternalfile.php/110/AP_29A_B.zip",http://ftp.pokefinder.org/index.php?s=ArachnoPhobia%2029&sourceid=csdb
ArachnoPhobia #3,"AP, ArachnoPhobia",Commodore 64,"Spiders-Crew, The ArachnoPhobia Staff",10 December 1996,10.12.1996,https://csdb.dk//release/?id=3941,"ftp://ftp.padua.org/pub/c64/Magazines/arachnophobia/Arachnophobia3.zip, http://csdb.dk/getinternalfile.php/61587/Arachnophobia3.zip, http://csdb.dk/getinternalfile.php/78558/0210b.d64",http://ftp.pokefinder.org/index.php?s=ArachnoPhobia%203&sourceid=csdb
ArachnoPhobia #32,"AP, ArachnoPhobia",Commodore 64,"Raiders of the Lost Empire, Spiders-Crew, The ArachnoPhobia Staff",30 April 2004,30.04.2004,https://csdb.dk//release/?id=13027,"http://csdb.dk/getinternalfile.php/2299/ArachnoPhobia32.zip, http://csdb.dk/getinternalfile.php/2298/esheetissue33.txt, http://csdb.dk/getinternalfile.php/2303/AP32diskcover.zip",http://ftp.pokefinder.org/index.php?s=ArachnoPhobia%2032&sourceid=csdb
ArachnoPhobia #4,"AP, ArachnoPhobia",Commodore 64,"Spiders-Crew, The ArachnoPhobia Staff",February 1997,01.02.1997,https://csdb.dk//release/?id=5153,http://csdb.dk/getinternalfile.php/86/Disk173a.d64,http://ftp.pokefinder.org/index.php?s=ArachnoPhobia%204&sourceid=csdb
ArachnoPhobia #5,"AP, ArachnoPhobia",Commodore 64,"Spiders-Crew, The ArachnoPhobia Staff",4 April 1997,04.04.1997,https://csdb.dk//release/?id=4412,"ftp://ftp.padua.org/pub/c64/Magazines/arachnophobia/Arachnophobia_05.zip, http://csdb.dk/getinternalfile.php/84735/ArachnoPhobia_05.zip",http://ftp.pokefinder.org/index.php?s=ArachnoPhobia%205&sourceid=csdb
ArachnoPhobia #6,"AP, ArachnoPhobia",Commodore 64,"Spiders-Crew, The ArachnoPhobia Staff",July 1997,01.07.1997,https://csdb.dk//release/?id=5154,"http://csdb.dk/getinternalfile.php/808/Arachnophobia_06.zip, ftp://c64.rulez.org/pub/c64/Hall_of_Fame/magfiles/a/arachnophobia/arachnophobia_06.d64.gz, ftp://ftp.scs-trc.net/pub/c64/Magazines/Arachnophobia/ArachnoPhobia_06.zip, ftp://c64.rulez.org/pub/c64/Magazines/Arachnophobia/Arachnophobia_06.zip",http://ftp.pokefinder.org/index.php?s=ArachnoPhobia%206&sourceid=csdb
ArachnoPhobia #7,"AP, ArachnoPhobia",Commodore 64,"Spiders-Crew, The ArachnoPhobia Staff",1 January 1998,01.01.1998,https://csdb.dk//release/?id=4554,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Arachnophobia/ArachnoPhobia_07.zip, http://csdb.dk/getinternalfile.php/61585/ArachnoPhobia_07.zip",http://ftp.pokefinder.org/index.php?s=ArachnoPhobia%207&sourceid=csdb
ArachnoPhobia #8,"AP, ArachnoPhobia",Commodore 64,"Raiders of the Lost Empire, Spiders-Crew, The ArachnoPhobia Staff",1 April 1998,01.04.1998,https://csdb.dk//release/?id=11367,http://csdb.dk/getinternalfile.php/824/ArachnoPhobia #08.zip,http://ftp.pokefinder.org/index.php?s=ArachnoPhobia%208&sourceid=csdb
ArachnoPhobia #9,"AP, ArachnoPhobia",Commodore 64,"Raiders of the Lost Empire, Spiders-Crew, The ArachnoPhobia Staff",July 1998,01.07.1998,https://csdb.dk//release/?id=5155,http://csdb.dk/getinternalfile.php/809/ArachnoPhobia #09.zip,http://ftp.pokefinder.org/index.php?s=ArachnoPhobia%209&sourceid=csdb
Arachnophobia Outfit Preview,"AP, ArachnoPhobia",Commodore 64,Slash Design,27 December 2022,27.12.2022,https://csdb.dk//release/?id=227266,https://csdb.dk/getinternalfile.php/239700/Arachnophobia Outfit Preview.d64,http://ftp.pokefinder.org/index.php?s=Arachnophobia%20Outfit%20Preview&sourceid=csdb
"ArachnoPhobic, Arachnophobia #32.5","AP, ArachnoPhobia",Commodore 64,"Spiders-Crew, The ArachnoPhobia Staff",8 July 2004,08.07.2004,https://csdb.dk//release/?id=13723,"http://csdb.dk/getinternalfile.php/2540/ArachnoPhobic.d64, http://members.chello.nl/f.koudijs/downloads/ArachnoPhobic.d64, ftp://ftp.scs-trc.net/pub/c64/Magazines/Arachnophobia/ArachnoPhobia_32.5.zip",http://ftp.pokefinder.org/index.php?s=Arachnophobia%20325&sourceid=csdb
Arcade #1,Arcade,Commodore 64,Airwolf-Team,1992,01.01.1992,https://csdb.dk//release/?id=146455,"ftp://ftp.padua.org/pub/c64/Magazines/arcade/arcade01.zip, http://csdb.dk/getinternalfile.php/147376/arcade01.d64",http://ftp.pokefinder.org/index.php?s=Arcade%201&sourceid=csdb
