title,platform,country,country_translated,city,city_translated,language,releases,releases_converted,date_start,date_end,issues,link,download_link
Last 128,ZX Spectrum,Россия,Russia,Рязань,Ryazan,Russian,"01 января 2002, 01 января 2002, 01 января 2002, 01 января 2002, 01 января 2002, 01 января 2002, 01 января 2002, 01 января 2002, 01 января 2002, 01 января 2002, 01 января 2002","01.01.2002, 01.01.2002, 01.01.2002, 01.01.2002, 01.01.2002, 01.01.2002, 01.01.2002, 01.01.2002, 01.01.2002, 01.01.2002, 01.01.2002",01.01.2002,01.01.2002,"Last 128 #01, Last 128 #02, Last 128 #03, Last 128 #04, Last 128 #05, Last 128 #06, Last 128 #08, Last 128 #09, Last 128 #3.5, Last 128 #8.025, Last 128 #M!R 01",https://zxpress.ru/issue.php?id=109,https://zxpress.ru/d.php?id=109
Life,ZX Spectrum,Россия,Russia,Сосенский,Sosensky,Russian,"15 мая 2004, 20 апреля 2004, 26 марта 2004, 01 марта 2004, 02 февраля 2004, 10 января 2004","10.01.2004, 02.02.2004, 01.03.2004, 26.03.2004, 20.04.2004, 15.05.2004",10.01.2004,15.05.2004,"Life #01, Life #02, Life #03, Life #04, Life #05, Life #06",https://zxpress.ru/issue.php?id=110,https://zxpress.ru/d.php?id=110
Lime Tree,ZX Spectrum,Россия,Russia,Москва,Moscow,Russian,"17 июля 1996, 02 июля 1996, 02 июля 1996, 22 июня 1996, 24 мая 1996, 07 мая 1996, 24 апреля 1996, 09 апреля 1996, 04 апреля 1996, 25 марта 1996, 13 марта 1996, 06 марта 1996, 28 февраля 1996, 19 февраля 1996, 07 февраля 1996, 02 февраля 1996, 28 января 1996, 19 января 1996, 11 января 1996, 05 января 1996, 30 декабря 1995, 20 декабря 1995, 13 декабря 1995, 13 декабря 1995, 28 ноября 1995, 25 ноября 1995, 21 ноября 1995","21.11.1995, 25.11.1995, 28.11.1995, 13.12.1995, 13.12.1995, 20.12.1995, 30.12.1995, 05.01.1996, 11.01.1996, 19.01.1996, 28.01.1996, 02.02.1996, 07.02.1996, 19.02.1996, 28.02.1996, 06.03.1996, 13.03.1996, 25.03.1996, 04.04.1996, 09.04.1996, 24.04.1996, 07.05.1996, 24.05.1996, 22.06.1996, 02.07.1996, 02.07.1996, 17.07.1996",21.11.1995,17.07.1996,"Lime Tree #01, Lime Tree #02, Lime Tree #03, Lime Tree #04, Lime Tree #05, Lime Tree #06, Lime Tree #07, Lime Tree #08, Lime Tree #09, Lime Tree #10, Lime Tree #11, Lime Tree #12, Lime Tree #13, Lime Tree #14, Lime Tree #15, Lime Tree #16, Lime Tree #17, Lime Tree #18, Lime Tree #19, Lime Tree #20, Lime Tree #21, Lime Tree #22, Lime Tree #23, Lime Tree #24, Lime Tree #25, Lime Tree #26, Lime Tree #27",https://zxpress.ru/issue.php?id=111,https://zxpress.ru/d.php?id=111
Listok,ZX Spectrum,Беларусь,Belarus,Гомель,Gomel,Russian,,,,,,https://zxpress.ru/issue.php?id=112,https://zxpress.ru/d.php?id=112
LntNews,ZX Spectrum,Россия,Russia,Санкт-Петербург,Saint Petersburg,Russian,,,,,LntNews #01,https://zxpress.ru/issue.php?id=113,https://zxpress.ru/d.php?id=113
Lprint,ZX Spectrum,Беларусь,Belarus,Минск,Minsk,Russian,"24 октября 1997, 17 октября 1997, 10 октября 1997, 06 октября 1997, 21 сентября 1997, 14 сентября 1997, 06 сентября 1997, 30 августа 1997, 23 августа 1997, 09 августа 1997, 01 августа 1997, 25 июля 1997, 18 июля 1997, 10 июля 1997, 05 июля 1997, 28 июня 1997, 20 июня 1997, 13 июня 1997, 06 июня 1997, 30 мая 1997, 19 мая 1997, 13 мая 1997, 30 апреля 1997","30.04.1997, 13.05.1997, 19.05.1997, 30.05.1997, 06.06.1997, 13.06.1997, 20.06.1997, 28.06.1997, 05.07.1997, 10.07.1997, 18.07.1997, 25.07.1997, 01.08.1997, 09.08.1997, 23.08.1997, 30.08.1997, 06.09.1997, 14.09.1997, 21.09.1997, 06.10.1997, 10.10.1997, 17.10.1997, 24.10.1997",30.04.1997,24.10.1997,"Lprint #01, Lprint #02, Lprint #03, Lprint #04, Lprint #05, Lprint #06, Lprint #07, Lprint #08, Lprint #09, Lprint #10, Lprint #11, Lprint #12, Lprint #13, Lprint #14, Lprint #15, Lprint #16, Lprint #17, Lprint #18, Lprint #19, Lprint #20, Lprint #21, Lprint #22, Lprint #23",https://zxpress.ru/issue.php?id=114,https://zxpress.ru/d.php?id=114
Madness,ZX Spectrum,Россия,Russia,Ульяновск,Ulyanovsk,Russian,17 февраля 2001,17.02.2001,17.02.2001,17.02.2001,Madness #01,https://zxpress.ru/issue.php?id=115,https://zxpress.ru/d.php?id=115
Marazm,ZX Spectrum,Беларусь,Belarus,Минск,Minsk,Russian,"01 января 2001, 28 ноября 2000, 01 января 2000, 01 января 2000, 01 января 2000, 01 января 1999, 01 января 1999, 01 января 1998, 01 января 1998, 01 января 1998, 01 января 1998, 01 января 1998","01.01.1998, 01.01.1998, 01.01.1998, 01.01.1998, 01.01.1998, 01.01.1999, 01.01.1999, 01.01.2000, 01.01.2000, 01.01.2000, 28.11.2000, 01.01.2001",01.01.1998,01.01.2001,"Marazm #01, Marazm #02, Marazm #03, Marazm #04, Marazm #05, Marazm #06, Marazm #07, Marazm #08, Marazm #09, Marazm #10, Marazm #11, Marazm #12, Marazm #13, Marazm #14, Marazm #15, Marazm #16, Marazm #17, Marazm #18, Marazm #19, Marazm #20, Marazm #21, Marazm #22, Marazm #23, Marazm #24, Marazm #25",https://zxpress.ru/issue.php?id=116,https://zxpress.ru/d.php?id=116
Mask,ZX Spectrum,Беларусь,Belarus,Бобруйск,Bobruisk,Russian,11 августа 1997,11.08.1997,11.08.1997,11.08.1997,Mask #00,https://zxpress.ru/issue.php?id=323,https://zxpress.ru/d.php?id=323
Mask,ZX Spectrum,,,,,,12 августа 1997,12.08.1997,12.08.1997,12.08.1997,Mask #00,https://zxpress.ru/issue.php?id=117,https://zxpress.ru/d.php?id=117
Matrix,ZX Spectrum,Беларусь,Belarus,Брест,Brest,Russian,01 декабря 2003,01.12.2003,01.12.2003,01.12.2003,Matrix #01,https://zxpress.ru/issue.php?id=333,https://zxpress.ru/d.php?id=333
Max Pictures Sexual News,ZX Spectrum,Россия,Russia,Санкт-Петербург,Saint Petersburg,Russian,09 сентября 1997,09.09.1997,09.09.1997,09.09.1997,"Max Pictures Sexual News #01, Max Pictures Sexual News #02",https://zxpress.ru/issue.php?id=322,https://zxpress.ru/d.php?id=322
Maximum,ZX Spectrum,Россия,Russia,Москва,Moscow,Russian,"25 июля 1998, 31 октября 1997, 24 октября 1997, 04 сентября 1997, 10 июня 1997, 03 июня 1997, 22 мая 1997, 12 мая 1997, 05 мая 1997, 29 апреля 1997, 22 апреля 1997, 17 апреля 1997, 31 марта 1997, 24 марта 1997, 20 марта 1997, 06 марта 1997, 25 февраля 1997, 17 февраля 1997, 10 февраля 1997, 04 февраля 1997, 01 декабря 1996, 24 ноября 1996, 17 ноября 1996, 10 ноября 1996, 03 ноября 1996, 28 октября 1996, 20 октября 1996, 13 октября 1996, 07 октября 1996, 30 сентября 1996, 22 сентября 1996, 16 сентября 1996, 08 сентября 1996, 02 сентября 1996, 25 сентября 1996, 25 сентября 1996, 18 августа 1996, 10 августа 1996, 01 августа 1996, 25 июля 1996, 18 июля 1996, 11 июля 1996, 04 июля 1996, 27 июня 1996, 20 июня 1996, 15 июня 1996, 08 июня 1996, 07 июня 1996","07.06.1996, 08.06.1996, 15.06.1996, 20.06.1996, 27.06.1996, 04.07.1996, 11.07.1996, 18.07.1996, 25.07.1996, 01.08.1996, 10.08.1996, 18.08.1996, 02.09.1996, 08.09.1996, 16.09.1996, 22.09.1996, 25.09.1996, 25.09.1996, 30.09.1996, 07.10.1996, 13.10.1996, 20.10.1996, 28.10.1996, 03.11.1996, 10.11.1996, 17.11.1996, 24.11.1996, 01.12.1996, 04.02.1997, 10.02.1997, 17.02.1997, 25.02.1997, 06.03.1997, 20.03.1997, 24.03.1997, 31.03.1997, 17.04.1997, 22.04.1997, 29.04.1997, 05.05.1997, 12.05.1997, 22.05.1997, 03.06.1997, 10.06.1997, 04.09.1997, 24.10.1997, 31.10.1997, 25.07.1998",07.06.1996,25.07.1998,"Maximum #00, Maximum #01, Maximum #02, Maximum #03, Maximum #04, Maximum #05, Maximum #06, Maximum #07, Maximum #08, Maximum #09, Maximum #10, Maximum #11, Maximum #12, Maximum #13, Maximum #14, Maximum #15, Maximum #16, Maximum #17, Maximum #18, Maximum #19, Maximum #20, Maximum #21, Maximum #22, Maximum #23, Maximum #24, Maximum #25, Maximum #26, Maximum #27, Maximum #28, Maximum #29, Maximum #30, Maximum #31, Maximum #32, Maximum #33, Maximum #34, Maximum #35, Maximum #36, Maximum #37, Maximum #38, Maximum #39, Maximum #40, Maximum #41, Maximum #42, Maximum #43, Maximum #44, Maximum #45, Maximum #46, Maximum #47",https://zxpress.ru/issue.php?id=118,https://zxpress.ru/d.php?id=118
Melancholy,ZX Spectrum,Россия,Russia,Барнаул,Barnaul,Russian,11 октября 2000,11.10.2000,11.10.2000,11.10.2000,Melancholy #01,https://zxpress.ru/issue.php?id=119,https://zxpress.ru/d.php?id=119
Micro,ZX Spectrum,Украина,Ukraine,Запорожье,Zaporozhye,Russian,"24 февраля 2000, 31 января 2000, 21 января 2000, 04 января 2000, 17 декабря 1999, 09 августа 1999, 08 июля 1999, 13 июня 1999, 28 мая 1999, 07 мая 1999, 24 апреля 1999, 22 апреля 1999, 08 марта 1999, 13 февраля 1999, 23 января 1999, 12 января 1999, 21 декабря 1998, 28 ноября 1998, 04 октября 1998, 05 сентября 1998, 04 августа 1998, 31 июля 1998, 18 июля 1998, 30 апреля 1998, 24 апреля 1998, 19 апреля 1998, 31 марта 1998","31.03.1998, 19.04.1998, 24.04.1998, 30.04.1998, 18.07.1998, 31.07.1998, 04.08.1998, 05.09.1998, 04.10.1998, 28.11.1998, 21.12.1998, 12.01.1999, 23.01.1999, 13.02.1999, 08.03.1999, 22.04.1999, 24.04.1999, 07.05.1999, 28.05.1999, 13.06.1999, 08.07.1999, 09.08.1999, 17.12.1999, 04.01.2000, 21.01.2000, 31.01.2000, 24.02.2000",31.03.1998,24.02.2000,"Micro #01, Micro #02, Micro #03, Micro #04, Micro #05, Micro #06, Micro #07, Micro #08, Micro #09, Micro #10, Micro #11, Micro #12, Micro #13, Micro #14, Micro #15, Micro #16, Micro #17, Micro #18, Micro #19, Micro #20, Micro #21, Micro #22, Micro #23, Micro #24, Micro #25, Micro #26, Micro #27",https://zxpress.ru/issue.php?id=120,https://zxpress.ru/d.php?id=120
Millenium,ZX Spectrum,Украина,Ukraine,Запорожье,Zaporozhye,Russian,30 сентября 2001,30.09.2001,30.09.2001,30.09.2001,Millenium #01,https://zxpress.ru/issue.php?id=121,https://zxpress.ru/d.php?id=121
Miracle,ZX Spectrum,Россия,Russia,Челябинск,Chelyabinsk,Russian,"16 июля 1999, 10 августа 1997, 27 апреля 1997","27.04.1997, 10.08.1997, 16.07.1999",27.04.1997,16.07.1999,"Miracle #01, Miracle #02, Miracle #03",https://zxpress.ru/issue.php?id=122,https://zxpress.ru/d.php?id=122
Mirage,ZX Spectrum,Россия,Russia,Москва,Moscow,Russian,09 декабря 1997,09.12.1997,09.12.1997,09.12.1997,"Mirage #00, Mirage #01",https://zxpress.ru/issue.php?id=123,https://zxpress.ru/d.php?id=123
Mirikom,ZX Spectrum,Россия,Russia,Красноярск,Krasnoyarsk,Russian,"31 июля 1994, 30 июня 1994","30.06.1994, 31.07.1994",30.06.1994,31.07.1994,"Mirikom #01, Mirikom #02",https://zxpress.ru/issue.php?id=124,https://zxpress.ru/d.php?id=124
Modern,ZX Spectrum,Россия,Russia,Москва,Moscow,Russian,,,,,,https://zxpress.ru/issue.php?id=125,https://zxpress.ru/d.php?id=125
Move,ZX Spectrum,Беларусь,Belarus,Минск,Minsk,Russian,"04 сентября 1997, 02 августа 1997, 18 июля 1997, 07 июня 1997, 31 мая 1997, 18 мая 1997, 17 апреля 1997, 15 марта 1997, 03 февраля 1997, 09 января 1997","09.01.1997, 03.02.1997, 15.03.1997, 17.04.1997, 18.05.1997, 31.05.1997, 07.06.1997, 18.07.1997, 02.08.1997, 04.09.1997",09.01.1997,04.09.1997,"Move #01, Move #02, Move #03, Move #04, Move #05, Move #06, Move #07, Move #08, Move #09, Move #10",https://zxpress.ru/issue.php?id=126,https://zxpress.ru/d.php?id=126
MSD,ZX Spectrum,Россия,Russia,Уфа,Ufa,Russian,"31 июля 1999, 29 мая 1999, 08 июня 2000, 11 марта 2000, 22 января 2000, 18 декабря 1999, 13 ноября 1999, 11 сентября 1999, 21 августа 1999, 31 июля 1999, 26 июня 1999, 12 июня 1999, 15 мая 1999, 08 мая 1999","08.05.1999, 15.05.1999, 29.05.1999, 12.06.1999, 26.06.1999, 31.07.1999, 31.07.1999, 21.08.1999, 11.09.1999, 13.11.1999, 18.12.1999, 22.01.2000, 11.03.2000, 08.06.2000",08.05.1999,08.06.2000,"MSD #01, MSD #02, MSD #03, MSD #04, MSD #05, MSD #06, MSD #07, MSD #08, MSD #09, MSD #10, MSD #11, MSD #12, MSD #2.5, MSD #5.5",https://zxpress.ru/issue.php?id=127,https://zxpress.ru/d.php?id=127
MSF,ZX Spectrum,Россия,Russia,Котлас,Kotlas,Russian,"21 декабря 2001, 29 августа 2001, 30 марта 2001, 29 декабря 2000, 10 ноября 2000","10.11.2000, 29.12.2000, 30.03.2001, 29.08.2001, 21.12.2001",10.11.2000,21.12.2001,"MSF #19, MSF #20, MSF #21, MSF #22, MSF #23, MSF #24, MSF #25, MSF #26, MSF #27, MSF #28, MSF #29",https://zxpress.ru/issue.php?id=128,https://zxpress.ru/d.php?id=128
Muchomor,ZX Spectrum,,,,,,,,,,Muchomor #01,https://zxpress.ru/issue.php?id=129,https://zxpress.ru/d.php?id=129
Murzilka,ZX Spectrum,Россия,Russia,Котлас,Kotlas,Russian,,,,,"Murzilka #03, Murzilka #07, Murzilka #08, Murzilka #09",https://zxpress.ru/issue.php?id=130,https://zxpress.ru/d.php?id=130
Mustang,ZX Spectrum,Россия,Russia,Сарапул,Sarapool,Russian,"02 марта 2004, 27 января 2004","27.01.2004, 02.03.2004",27.01.2004,02.03.2004,"Mustang #01, Mustang #02",https://zxpress.ru/issue.php?id=131,https://zxpress.ru/d.php?id=131
My Speccy,ZX Spectrum,Россия,Russia,Москва,Moscow,Russian,02 февраля 2004,02.02.2004,02.02.2004,02.02.2004,My Speccy #01,https://zxpress.ru/issue.php?id=132,https://zxpress.ru/d.php?id=132
Natural,ZX Spectrum,Россия,Russia,Пермь,Perm,Russian,01 апреля 1998,01.04.1998,01.04.1998,01.04.1998,Natural #01,https://zxpress.ru/issue.php?id=133,https://zxpress.ru/d.php?id=133
Neformal,ZX Spectrum,Беларусь,Belarus,Минск,Minsk,Russian,,,,,Neformal #01,https://zxpress.ru/issue.php?id=134,https://zxpress.ru/d.php?id=134
NemoFAQ,ZX Spectrum,Россия,Russia,Москва,Moscow,Russian,,,,,,https://zxpress.ru/issue.php?id=135,https://zxpress.ru/d.php?id=135
Netus News,ZX Spectrum,Россия,Russia,Санкт-Петербург,Saint Petersburg,Russian,"28 марта 1999, 04 февраля 1999, 19 января 1999, 03 января 1999, 26 декабря 1998, 30 ноября 1998","30.11.1998, 26.12.1998, 03.01.1999, 19.01.1999, 04.02.1999, 28.03.1999",30.11.1998,28.03.1999,"Netus News #01, Netus News #05, Netus News #07, Netus News #09, Netus News #10, Netus News #11",https://zxpress.ru/issue.php?id=136,https://zxpress.ru/d.php?id=136
Never Mind,ZX Spectrum,Россия,Russia,Ижевск,Izhevsk,Russian,"02 апреля 2003, 09 апреля 2008, 12 марта 2003","12.03.2003, 02.04.2003, 09.04.2008",12.03.2003,09.04.2008,"Never Mind #01, Never Mind #02, Never Mind #1.5",https://zxpress.ru/issue.php?id=137,https://zxpress.ru/d.php?id=137
Next,ZX Spectrum,Беларусь,Belarus,Минск,Minsk,Russian,"07 февраля 1998, 23 сентября 1997, 22 сентября 1997, 21 сентября 1997, 20 сентября 1997, 19 сентября 1997, 18 сентября 1997, 17 сентября 1997, 16 сентября 1997, 05 сентября 1997, 14 сентября 1997, 13 сентября 1997, 12 сентября 1997, 11 сентября 1997, 10 сентября 1997, 09 сентября 1997, 08 сентября 1997, 07 июля 1997, 07 сентября 1997","07.07.1997, 05.09.1997, 07.09.1997, 08.09.1997, 09.09.1997, 10.09.1997, 11.09.1997, 12.09.1997, 13.09.1997, 14.09.1997, 16.09.1997, 17.09.1997, 18.09.1997, 19.09.1997, 20.09.1997, 21.09.1997, 22.09.1997, 23.09.1997, 07.02.1998",07.07.1997,07.02.1998,"Next #00, Next #01, Next #02, Next #03, Next #04, Next #05, Next #06, Next #07, Next #08, Next #09, Next #10, Next #11, Next #12, Next #13, Next #14, Next #15, Next #16, Next #17, Next #18",https://zxpress.ru/issue.php?id=138,https://zxpress.ru/d.php?id=138
Nicron,ZX Spectrum,Россия,Russia,Москва,Moscow,Russian,"15 августа 1998, 23 июля 1998, 16 июля 1998, 09 июля 1998, 02 июля 1998, 18 июня 1998, 11 июня 1998, 04 июня 1998, 28 мая 1998, 21 мая 1998, 14 мая 1998, 07 мая 1998, 30 апреля 1998, 23 апреля 1998, 16 апреля 1998, 09 апреля 1998, 02 апреля 1998, 31 марта 1998, 26 марта 1998, 19 марта 1998, 12 марта 1998, 05 марта 1998, 26 февраля 1998, 19 февраля 1998, 12 февраля 1998, 05 февраля 1998, 29 января 1998, 26 января 1998, 15 января 1998, 08 января 1998, 30 декабря 1997, 25 декабря 1997, 18 декабря 1997, 11 декабря 1997, 04 декабря 1997, 27 ноября 1997, 20 ноября 1997, 13 ноября 1997, 06 ноября 1997, 30 октября 1997, 23 октября 1997, 17 октября 1997, 09 октября 1997, 02 октября 1997, 25 сентября 1997, 18 сентября 1997, 11 сентября 1997, 04 сентября 1997, 06 сентября 1997, 28 августа 1997, 26 августа 1997, 20 августа 1997, 14 августа 1997, 07 августа 1997, 31 июля 1997, 24 июля 1997, 17 июля 1997, 10 июля 1997, 03 июля 1997, 26 июня 1997, 19 июня 1997, 13 июня 1997, 05 июня 1997, 29 мая 1997, 22 мая 1997, 15 мая 1997, 07 мая 1997, 01 мая 1997, 24 апреля 1997, 17 апреля 1997, 11 апреля 1997, 03 апреля 1997, 31 марта 1997, 27 марта 1997, 20 марта 1997, 13 марта 1997, 06 марта 1997, 27 февраля 1997, 21 февраля 1997, 14 февраля 1997, 06 февраля 1997, 31 января 1997, 23 января 1997, 17 января 1997, 10 января 1997, 03 января 1997, 19 января 2006, 31 декабря 1996, 18 января 2006, 06 января 2005, 31 августа 2004, 20 декабря 2003, 19 декабря 2002, 23 июня 2002, 11 апреля 2002, 18 ноября 2001, 21 октября 2001, 31 декабря 2000, 20 декабря 1996, 17 ноября 2000, 03 сентября 2000, 21 мая 2000, 29 января 2000, 04 декабря 1999, 06 ноября 1999, 03 октября 1999, 15 сентября 1999, 28 августа 1999, 15 сентября 1999, 12 декабря 1996, 30 июня 1999, 31 марта 1999, 14 марта 1999, 13 января 1999, 13 декабря 1998, 20 ноября 1998, 11 октября 1998, 24 сентября 1998, 17 сентября 1998, 11 сентября 1998, 05 декабря 1996, 14 ноября 1996, 07 ноября 1996, 31 октября 1996, 02 октября 1996, 17 октября 1996, 12 октября 1996, 30 сентября 1996","30.09.1996, 02.10.1996, 12.10.1996, 17.10.1996, 31.10.1996, 07.11.1996, 14.11.1996, 05.12.1996, 12.12.1996, 20.12.1996, 31.12.1996, 03.01.1997, 10.01.1997, 17.01.1997, 23.01.1997, 31.01.1997, 06.02.1997, 14.02.1997, 21.02.1997, 27.02.1997, 06.03.1997, 13.03.1997, 20.03.1997, 27.03.1997, 31.03.1997, 03.04.1997, 11.04.1997, 17.04.1997, 24.04.1997, 01.05.1997, 07.05.1997, 15.05.1997, 22.05.1997, 29.05.1997, 05.06.1997, 13.06.1997, 19.06.1997, 26.06.1997, 03.07.1997, 10.07.1997, 17.07.1997, 24.07.1997, 31.07.1997, 07.08.1997, 14.08.1997, 20.08.1997, 26.08.1997, 28.08.1997, 04.09.1997, 06.09.1997, 11.09.1997, 18.09.1997, 25.09.1997, 02.10.1997, 09.10.1997, 17.10.1997, 23.10.1997, 30.10.1997, 06.11.1997, 13.11.1997, 20.11.1997, 27.11.1997, 04.12.1997, 11.12.1997, 18.12.1997, 25.12.1997, 30.12.1997, 08.01.1998, 15.01.1998, 26.01.1998, 29.01.1998, 05.02.1998, 12.02.1998, 19.02.1998, 26.02.1998, 05.03.1998, 12.03.1998, 19.03.1998, 26.03.1998, 31.03.1998, 02.04.1998, 09.04.1998, 16.04.1998, 23.04.1998, 30.04.1998, 07.05.1998, 14.05.1998, 21.05.1998, 28.05.1998, 04.06.1998, 11.06.1998, 18.06.1998, 02.07.1998, 09.07.1998, 16.07.1998, 23.07.1998, 15.08.1998, 11.09.1998, 17.09.1998, 24.09.1998, 11.10.1998, 20.11.1998, 13.12.1998, 13.01.1999, 14.03.1999, 31.03.1999, 30.06.1999, 28.08.1999, 15.09.1999, 15.09.1999, 03.10.1999, 06.11.1999, 04.12.1999, 29.01.2000, 21.05.2000, 03.09.2000, 17.11.2000, 31.12.2000, 21.10.2001, 18.11.2001, 11.04.2002, 23.06.2002, 19.12.2002, 20.12.2003, 31.08.2004, 06.01.2005, 18.01.2006, 19.01.2006",30.09.1996,19.01.2006,"Nicron #01, Nicron #02, Nicron #03, Nicron #04, Nicron #05, Nicron #06, Nicron #07, Nicron #10, Nicron #100, Nicron #101, Nicron #102, Nicron #103, Nicron #104, Nicron #105, Nicron #106, Nicron #107, Nicron #108, Nicron #109, Nicron #11, Nicron #110, Nicron #111, Nicron #112, Nicron #113, Nicron #114, Nicron #115, Nicron #116, Nicron #117, Nicron #118, Nicron #119, Nicron #12, Nicron #120, Nicron #121, Nicron #122, Nicron #123, Nicron #124, Nicron #125, Nicron #126, Nicron #127, Nicron #128, Nicron #129, Nicron #13, Nicron #130, Nicron #14, Nicron #15, Nicron #16, Nicron #17, Nicron #18, Nicron #19, Nicron #20, Nicron #21, Nicron #22, Nicron #23, Nicron #24, Nicron #25, Nicron #26, Nicron #27, Nicron #28, Nicron #29, Nicron #30, Nicron #31, Nicron #32, Nicron #33, Nicron #34, Nicron #35, Nicron #36, Nicron #37, Nicron #38, Nicron #39, Nicron #40, Nicron #41, Nicron #42, Nicron #43, Nicron #44, Nicron #45, Nicron #46, Nicron #47, Nicron #48, Nicron #49, Nicron #50, Nicron #51, Nicron #52, Nicron #53, Nicron #54, Nicron #55, Nicron #56, Nicron #57, Nicron #58, Nicron #59, Nicron #60, Nicron #61, Nicron #62, Nicron #63, Nicron #64, Nicron #65, Nicron #66, Nicron #67, Nicron #68, Nicron #69, Nicron #70, Nicron #71, Nicron #72, Nicron #73, Nicron #74, Nicron #75, Nicron #76, Nicron #77, Nicron #78, Nicron #79, Nicron #80, Nicron #81, Nicron #82, Nicron #83, Nicron #84, Nicron #85, Nicron #86, Nicron #87, Nicron #88, Nicron #89, Nicron #90, Nicron #91, Nicron #92, Nicron #93, Nicron #94, Nicron #95, Nicron #96, Nicron #97, Nicron #98, Nicron #99",https://zxpress.ru/issue.php?id=139,https://zxpress.ru/d.php?id=139
Nikfe,ZX Spectrum,Россия,Russia,Рязань,Ryazan,Russian,03 мая 1999,03.05.1999,03.05.1999,03.05.1999,"Nikfe #0B, Nikfe #0C",https://zxpress.ru/issue.php?id=140,https://zxpress.ru/d.php?id=140
Nonsense,ZX Spectrum,Россия,Russia,Йошкар-Ола,Yoshkar-Ola,Russian,13 марта 2002,13.03.2002,13.03.2002,13.03.2002,Nonsense #01,https://zxpress.ru/issue.php?id=319,https://zxpress.ru/d.php?id=319
Noosfera,ZX Spectrum,Россия,Russia,Рязань,Ryazan,Russian,30 ноября 2003,30.11.2003,30.11.2003,30.11.2003,Noosfera #01,https://zxpress.ru/issue.php?id=141,https://zxpress.ru/d.php?id=141
Numberology,ZX Spectrum,Россия,Russia,Великие Луки,Velikiye Luki,Russian,31 декабря 1997,31.12.1997,31.12.1997,31.12.1997,Numberology #01,https://zxpress.ru/issue.php?id=142,https://zxpress.ru/d.php?id=142
Oberon,ZX Spectrum,Россия,Russia,Самара,Samara,Russian,"06 ноября 1998, 28 ноября 1997, 14 марта 1997, 31 октября 1996, 31 марта 1996","31.03.1996, 31.10.1996, 14.03.1997, 28.11.1997, 06.11.1998",31.03.1996,06.11.1998,"Oberon #01, Oberon #02, Oberon #03, Oberon #04, Oberon #05",https://zxpress.ru/issue.php?id=143,https://zxpress.ru/d.php?id=143
Odyssey Magazine,ZX Spectrum,Россия,Russia,Армавир,Armavir,Russian,"14 июля 1997, 05 марта 1997, 11 декабря 1996","11.12.1996, 05.03.1997, 14.07.1997",11.12.1996,14.07.1997,"Odyssey Magazine #00, Odyssey Magazine #01, Odyssey Magazine #02",https://zxpress.ru/issue.php?id=144,https://zxpress.ru/d.php?id=144
Odyssey paper,ZX Spectrum,Россия,Russia,Армавир,Armavir,Russian,"31 марта 1999, 17 марта 1999, 25 февраля 1999, 11 февраля 1999, 11 января 1999, 03 января 1999, 27 декабря 1998, 29 ноября 1998","29.11.1998, 27.12.1998, 03.01.1999, 11.01.1999, 11.02.1999, 25.02.1999, 17.03.1999, 31.03.1999",29.11.1998,31.03.1999,"Odyssey paper #01, Odyssey paper #02, Odyssey paper #03, Odyssey paper #04, Odyssey paper #05, Odyssey paper #06, Odyssey paper #07, Odyssey paper #08",https://zxpress.ru/issue.php?id=145,https://zxpress.ru/d.php?id=145
Offline,ZX Spectrum,Россия,Russia,Москва,Moscow,Russian,"27 апреля 1996, 07 марта 1996, 04 марта 1996","04.03.1996, 07.03.1996, 27.04.1996",04.03.1996,27.04.1996,"Offline #02, Offline #03, Offline #04",https://zxpress.ru/issue.php?id=146,https://zxpress.ru/d.php?id=146
